Tao2010Mettoc	inproceedings	10.1109/APSEC.2010.39		Tao, Qiuming and Wu, Wei and Zhao, Chen and Shen, Wuwei	2010	An Automatic Testing Approach for Compiler Based on Metamorphic Testing Technique
Segura2022QBSAutoMR	inproceedings	10.1145/3524846.3527338		Segura, Sergio and Alonso, Juan Carlos and Mart{\'i	2022	Automated Generation of Metamorphic Relations for Query-Based Systems
Wang2024QED	article	10.14778/3681954.3682024		Wang, Shuxian and Pan, Sicheng and Cheung, Alvin	2024	{QED
Humbatova2021DeepCrime	inproceedings	10.1145/3460319.3464825		Humbatova, Nargiz and Jahangirova, Gunel and Tonella, Paolo	2021	{DeepCrime
Nolasco2024MemoRIA	article	10.1145/3643747		Nolasco, Agust{\'i	2024	Abstraction-Aware Inference of Metamorphic Relations
Saha2019SupervisedMR	inproceedings	10.1109/AITest.2019.00019		Saha, Prashanta and Kanewala, Upulee	2019	Fault Detection Effectiveness of Metamorphic Relations Developed for Testing Supervised Classifiers
Deng2021VectorNeurons	inproceedings	10.1109/ICCV48922.2021.01198		Deng, Congyue and Litany, Or and Duan, Yueqi and Poulenard, Adrien and Tagliasacchi, Andrea and Guibas, Leonidas J.	2021	Vector Neurons: A General Framework for {SO(3)
Cohen2019Gauge	inproceedings			Cohen, Taco S. and Weiler, Maurice and Kicanaoglu, Berkay and Welling, Max	2019	Gauge Equivariant Convolutional Networks and the Icosahedral {CNN
Altamimi2022MRSLR	article	10.1002/smr.2509		Altamimi, Emran and Elkawakjy, Abdullah and Catal, Cagatay	2022	Metamorphic Relation Automation: Rationale, Challenges, and Solution Directions
Wohlin2012EmpiricalSE	book			Wohlin, Claes and Runeson, Per and H{\	2012	Experimentation in Software Engineering
Noether1918	article			Noether, Emmy	1918	Invariante Variationsprobleme
e3nn2022software	misc			Geiger, Mario and Smidt, Tess and others	2022	{e3nn
Fey2019PyG	inproceedings			Fey, Matthias and Lenssen, Jan E.	2019	Fast Graph Representation Learning with {PyTorch Geometric
Markl2022LearnedQO	article	10.1145/3542700.3542702		Markl, Volker	2022	Making Learned Query Optimization Practical
Slutz1998RAGS	inproceedings			Slutz, Donald R.	1998	Massive Stochastic Testing of {SQL
Bati2007GeneticDB	inproceedings			Bati, Hardik and Giakoumakis, Leo and Herbert, Steve and Surna, Aleksandras	2007	A Genetic Approach for Random Testing of Database Systems
Zhou2022SPES	inproceedings			Zhou, Qi and Arulraj, Joy and Navathe, Shamkant B. and Harris, William and Wu, Jinpeng	2022	{SPES
