pair_id,complexity,n_nodes_total,is_equivalent_ground_truth,set_n_applicable,set_n_detected,set_n_mr_fired,set_segura_applicable,set_segura_detected,set_segura_mr_fired,seed,timestamp
testMergeUnionDistinct,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testMergeUnionMixed2,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testMinReuseDistinctAttrWithMixedOptionality,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testMultipleDistinctWithGrouping,hard,18,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testNoOversimplificationBelowIsNull,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testOrAlwaysTrue,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testOrAlwaysTrue2,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testOversimplifiedCaseStatement,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectAggregateMerge,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectAggregateMergeSum0,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectAggregateMergeSum0AndSum,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectCorrelateTransposeRuleAntiCorrelate,easy,1,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectCorrelateTransposeRuleLeftCorrelate,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectCorrelateTransposeRuleSemiCorrelate,easy,1,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectFilterTransposeRuleOnEmptyRowType,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectJoinRemove1,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testProjectJoinRemove10,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectJoinRemove4,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectJoinRemove7,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testProjectJoinTransposeItem,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testProjectSetOpTranspose,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullAggregateThroughUnion,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullAggregateThroughUnion2,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullAggregateThroughUnionAndAddProjects,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullAggregateThroughUnionWithAlias,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantIntoFilter,medium,10,True,1,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantIntoJoin,medium,13,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPullConstantIntoJoin2,hard,15,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPullConstantIntoProject,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantIntoProjectWithIsNotDistinctFrom,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantIntoProjectWithIsNotDistinctFromDate,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantIntoProjectWithIsNotDistinctFromForNull,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
